,goal combination,count,pick count
0,"['30 Different Skulltulas', 'Defeat Volvagia']",9,2
1,"['7 Maps', 'Beat the Spirit Temple']",8,2
2,"['30 Different Skulltulas', 'Two Fairy Spells']",8,1
3,"['All 3 Elemental Arrows', 'All 4 Market area Skulltulas']",7,1
4,"['1 Skulltula from each Adult Dungeon', 'Defeat Volvagia']",7,1
5,"['All 3 Elemental Arrows', 'Map & Compass in Dodongos Cavern']",7,1
6,"['30 Different Skulltulas', '7 Maps']",7,2
7,"['All 3 Elemental Arrows', 'Exactly 30 Deku Sticks']",6,1
8,"['30 Different Skulltulas', 'Giants Knife']",5,1
9,"['5 Zora area HPs', 'All 3 Elemental Arrows']",5,3
10,"['30 Different Skulltulas', '7 Maps', 'Defeat Volvagia']",5,1
11,"['All 3 Elemental Arrows', 'Map & Compass in Shadow Temple']",5,1
12,"['30 Different Skulltulas', '8 Hearts (no duping)']",5,1
13,"['4 Unused Keys in Gerudo Training Grounds', '9 Hearts (no duping)']",5,1
14,"['1 Skulltula from each Adult Dungeon', 'Two Fairy Spells']",5,1
15,"['All 3 Elemental Arrows', 'Green Gauntlets']",5,1
16,"['30 Different Skulltulas', 'Map & Compass in Dodongos Cavern']",5,1
17,"['Beat the Spirit Temple', 'Fire Temple Boss Key']",5,1
18,"['7 Maps', 'Defeat Volvagia']",5,1
19,"['Beat the Spirit Temple', 'Obtain all 8 Small Keys in Fire Temple']",5,2
20,"['Beat the Spirit Temple', 'Two Fairy Spells']",5,2
21,"['2 Skulltulas in Lon Lon Ranch', 'All 3 Elemental Arrows']",5,1
22,"['7 Compasses', 'Both HPs in Lost Woods']",4,1
23,"['Dins Fire', 'Quiver (40)']",4,2
24,"['Defeat Twinrova', 'Double Defense']",4,1
25,"['7 Maps', 'Obtain all 8 Small Keys in Fire Temple']",4,2
26,"['1 Skulltula from each Adult Dungeon', 'Beat the Fire Temple']",4,1
27,"['10 Songs', 'Defeat Volvagia']",4,1
28,"['3 Swords, Tunics, Boots, and Shields', 'Defeat Meg (purple Poe)']",4,1
29,"['5 Zora area HPs', 'Exactly 30 Deku Sticks']",4,1
30,"['5 Zora area HPs', 'All 5 Skulltulas in Spirit Temple']",4,1
31,"['5 Zora area HPs', 'All 4 Market area Skulltulas']",4,1
32,"['7 Maps', 'Beat the Spirit Temple', 'Obtain all 8 Small Keys in Fire Temple']",4,2
33,"['All 3 Elemental Arrows', 'Beat the Fire Temple']",4,1
34,"['5 Zora area HPs', 'All 3 Elemental Arrows', 'All 4 Market area Skulltulas']",4,1
35,"['Clear 8 Silver Rupee Rooms', 'Map & Compass in Dodongos Cavern']",4,1
36,"['All 3 Elemental Arrows', 'All 5 Skulltulas in Fire Temple']",4,2
37,"['5 Zora area HPs', 'All 3 Elemental Arrows', 'Exactly 30 Deku Sticks']",4,1
38,"['30 Different Skulltulas', 'Bolero of Fire']",4,2
39,"['Defeat Twinrova', 'Quiver (40)']",4,2
40,"['1 Skulltula from each Adult Dungeon', 'Quiver (40)']",3,1
41,"['1 Skulltula from each Adult Dungeon', 'Dins Fire']",3,2
42,"['1 Skulltula from each Adult Dungeon', '5 Hearts']",3,1
43,"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch']",3,1
44,"['2 Skulltulas in Lon Lon Ranch', 'All 4 Market area Skulltulas']",3,1
45,"['1 Skulltula from each Adult Dungeon', 'Beat Dodongos Cavern']",3,2
46,"['7 Maps', 'Open the Final Door of Forest Trial']",3,1
47,"['Defeat Dark Link', 'Exactly 30 Deku Sticks']",3,1
48,"['7 Maps', 'Double Defense']",3,1
49,"['7 Maps', 'Defeat Twinrova']",3,1
50,"['10 Songs', '7 Maps']",3,2
51,"['4 Compasses', 'Open All 6 Gold Rupee Chests']",3,1
52,"['5 Zora area HPs', 'All 3 Elemental Arrows', 'Beat the Fire Temple']",3,1
53,"['10 Songs', 'Bolero of Fire']",3,1
54,"['Bolero of Fire', 'Defeat Twinrova']",3,1
55,"['5 Zora area HPs', 'Beat the Fire Temple']",3,1
56,"['30 Different Skulltulas', '8 Songs']",3,1
57,"['Beat the Fire Temple', 'Map & Compass in Dodongos Cavern']",3,2
58,"['1 Skulltula from each Adult Dungeon', 'Defeat Barinade']",3,1
59,"['30 Different Skulltulas', '7 Maps', 'Map & Compass in Dodongos Cavern']",3,1
60,"['9 Songs', 'Open All 6 Gold Rupee Chests']",3,1
61,"['Defeat Meg (purple Poe)', 'Open All 6 Gold Rupee Chests']",3,1
62,"['Minuet of Forest', 'Sarias Song']",3,2
63,"['Beat the Spirit Temple', 'Minuet of Forest']",3,1
64,"['6 Compasses', 'Open All 6 Gold Rupee Chests']",3,1
65,"['Beat the Spirit Temple', 'Silver Scale']",3,2
66,"['7 Compasses', 'Map & Compass in Shadow Temple']",3,3
67,"['10 Songs', 'All 5 Skulltulas in Spirit Temple']",3,1
68,"['All 3 Elemental Arrows', 'Beat the Fire Temple', 'Map & Compass in Dodongos Cavern']",3,1
69,"['6 Compasses', 'All 3 Elemental Arrows']",3,1
70,"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Forest Temple']",3,1
71,"['All 5 Skulltulas in Forest Temple', 'Dins Fire']",3,1
