goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
All 4 Lost Woods area Skulltulas,7,8,6,114.3,75.0,1:17:20,3,37.5
4 Maps,1,1,0,100.0,0.0,1:24:06,0,0.0
All 3 Skulltulas in Ice Cavern,1,1,0,100.0,0.0,2:05:50,0,0.0
Open the Final Door of Light Trial,2,2,1,100.0,50.0,1:29:08,0,0.0
3 Unused Keys in Gerudo Training Grounds,3,3,2,100.0,66.7,1:15:47,1,33.3
All 5 Skulltulas in Shadow Temple,14,14,6,100.0,42.9,1:23:26,2,14.3
Double Magic,4,4,1,100.0,25.0,1:26:40,0,0.0
Beat the Deku Tree,4,4,2,100.0,50.0,1:22:14,1,25.0
Open 2 Boss Key Doors,4,4,2,100.0,50.0,1:38:41,0,0.0
Open 3 Boss Key Doors,11,10,5,90.9,50.0,1:38:05,1,10.0
Open 5 Gold Rupee Chests,9,8,4,88.9,50.0,1:39:47,1,12.5
5 Compasses,9,7,4,77.8,57.1,1:16:03,3,42.9
Two Fairy Spells,21,16,11,76.2,68.8,1:19:02,5,31.2
Obtain all 8 Small Keys in Fire Temple,8,6,3,75.0,50.0,1:36:36,1,16.7
Silver Scale,16,12,6,75.0,50.0,1:26:24,2,16.7
3 Tunics & 3 Boots,4,3,1,75.0,33.3,1:15:58,1,33.3
Map & Compass in Deku Tree,4,3,1,75.0,33.3,1:28:25,0,0.0
Defeat Morpha,7,5,2,71.4,40.0,1:51:57,1,20.0
20 Different Skulltulas,10,7,3,70.0,42.9,1:25:20,0,0.0
Giant's Wallet,3,2,1,66.7,50.0,1:25:29,1,50.0
Get Bombchu chest in Spirit Temple,9,6,2,66.7,33.3,1:25:12,1,16.7
Water Temple Boss Key,3,2,2,66.7,100.0,1:27:28,1,50.0
6 Different Unused Keys in Gerudo Training Grounds,6,4,1,66.7,25.0,1:16:15,1,25.0
Iron Boots,3,2,1,66.7,50.0,1:22:25,1,50.0
6 Maps,11,7,3,63.6,42.9,1:20:56,2,28.6
Map & Compass in Bottom of the Well,8,5,3,62.5,60.0,1:17:02,2,40.0
2 Skulltulas in Lon Lon Ranch,8,5,2,62.5,40.0,1:38:10,0,0.0
7 Different Unused Keys in Gerudo Training Grounds,8,5,4,62.5,80.0,1:12:39,3,60.0
Boomerang,8,5,1,62.5,20.0,1:24:00,1,20.0
1 Skulltula from each Adult Dungeon,16,10,5,62.5,50.0,1:24:48,2,20.0
7 Songs,8,5,2,62.5,40.0,1:16:44,1,20.0
Beat the Fire Temple,15,9,5,60.0,55.6,1:18:11,2,22.2
Defeat Phantom Ganon,5,3,2,60.0,66.7,1:15:54,0,0.0
Shadow Temple Boss Key,5,3,2,60.0,66.7,1:15:58,1,33.3
Light Arrows,12,7,4,58.3,57.1,1:36:37,0,0.0
Zora Tunic,12,7,5,58.3,71.4,1:22:47,2,28.6
All 4 Skulltulas in Jabu-Jabu,7,4,2,57.1,50.0,1:20:18,1,25.0
1 Skulltula from each Child Dungeon,7,4,2,57.1,50.0,1:27:36,0,0.0
3 Tunics,14,8,5,57.1,62.5,1:26:10,1,12.5
Map & Compass in Spirit Temple,14,8,3,57.1,37.5,1:23:42,1,12.5
Ice Cavern HP,9,5,3,55.6,60.0,1:24:43,1,20.0
9 Hearts (no duping),35,18,9,51.4,50.0,1:17:33,4,22.2
Bolero of Fire,18,9,2,50.0,22.2,1:32:30,0,0.0
500 Rupees,6,3,3,50.0,100.0,1:12:22,2,66.7
Golden Gauntlets,4,2,1,50.0,50.0,1:16:05,1,50.0
2 Boss Keys,4,2,0,50.0,0.0,2:00:11,0,0.0
9 Songs,10,5,2,50.0,40.0,1:16:30,1,20.0
Both Gerudo's Fortress area Skulltulas,4,2,1,50.0,50.0,1:16:59,0,0.0
Frog's HP,8,4,3,50.0,75.0,1:17:20,1,25.0
Map & Compass in Forest Temple,14,7,1,50.0,14.3,1:39:56,0,0.0
6 Hearts,4,2,0,50.0,0.0,1:29:58,0,0.0
Beat the Forest Temple,2,1,0,50.0,0.0,1:38:07,0,0.0
5 Magic Beans,12,6,4,50.0,66.7,1:28:31,2,33.3
Ice Arrows,8,4,4,50.0,100.0,1:35:26,0,0.0
7 Compasses,27,13,10,48.1,76.9,1:36:34,1,7.7
30 Different Skulltulas,51,24,8,47.1,33.3,1:31:50,2,8.3
Free all 9 Gorons in Fire Temple,15,7,6,46.7,85.7,1:24:02,2,28.6
Defeat Volvagia,13,6,2,46.2,33.3,1:17:02,2,33.3
Exactly 30 Deku Sticks,13,6,2,46.2,33.3,1:22:01,1,16.7
7 Maps,11,5,0,45.5,0.0,1:39:56,0,0.0
Defeat a Skull Kid,9,4,1,44.4,25.0,1:48:05,0,0.0
8 Songs,9,4,1,44.4,25.0,1:33:58,0,0.0
5 Maps,9,4,2,44.4,50.0,1:33:18,1,25.0
15 Different Skulltulas,9,4,1,44.4,25.0,1:38:42,0,0.0
Defeat Dark Link,9,4,2,44.4,50.0,1:19:51,1,25.0
1 Unused Small Key in each Adult Dungeon,9,4,1,44.4,25.0,1:22:01,0,0.0
Map & Compass in Dodongo's Cavern,9,4,3,44.4,75.0,1:16:23,1,25.0
3 Swords & 3 Tunics,7,3,1,42.9,33.3,1:38:07,0,0.0
Lon Lon Ranch HP,7,3,1,42.9,33.3,1:14:59,1,33.3
Goron Tunic,7,3,0,42.9,0.0,1:38:07,0,0.0
Defeat Queen Gohma,7,3,1,42.9,33.3,1:28:25,1,33.3
Open 3 Gold Rupee Chests,19,8,6,42.1,75.0,1:19:54,2,25.0
3 Shields & 3 Tunics,12,5,4,41.7,80.0,1:19:15,2,40.0
All 4 Child Zora's Domain area Skulltulas,12,5,3,41.7,60.0,1:44:15,1,20.0
Stone of Agony,12,5,3,41.7,60.0,1:34:08,0,0.0
Beat the Water Temple,12,5,3,41.7,60.0,1:39:08,1,20.0
Ganon's Castle Boss Key,17,7,4,41.2,57.1,1:31:17,0,0.0
Defeat 4 Different Iron Knuckles,17,7,4,41.2,57.1,1:26:41,2,28.6
All 8 Zora's Domain area Skulltulas,20,8,4,40.0,50.0,1:33:28,0,0.0
Defeat Nabooru-Knuckle,5,2,0,40.0,0.0,1:45:58,0,0.0
3 Shields,10,4,1,40.0,25.0,1:37:23,0,0.0
Map & Compass in Ice Cavern,5,2,0,40.0,0.0,1:27:05,0,0.0
Ruto's Letter,5,2,2,40.0,100.0,1:27:47,0,0.0
5 Unused Keys in Gerudo Training Grounds,5,2,1,40.0,50.0,1:21:49,0,0.0
8 Different Unused Keys in Gerudo Training Grounds,10,4,1,40.0,25.0,1:34:31,1,25.0
3 Swords & 3 Boots,5,2,2,40.0,100.0,1:13:06,1,50.0
Longshot,13,5,4,38.5,80.0,1:13:36,3,60.0
All 4 Wasteland/ Colossus area Skulltulas,13,5,2,38.5,40.0,1:36:34,0,0.0
8 Hearts (no duping),21,8,3,38.1,37.5,1:31:09,1,12.5
Map & Compass in Jabu-Jabu,8,3,2,37.5,66.7,1:22:01,0,0.0
Nayru's Love,16,6,5,37.5,83.3,1:29:46,0,0.0
6 Compasses,16,6,4,37.5,66.7,1:22:52,0,0.0
Defeat Meg (Purple Poe),19,7,3,36.8,42.9,1:33:28,0,0.0
Quiver (50),19,7,4,36.8,57.1,1:22:47,3,42.9
3 Shields & 3 Boots,30,11,7,36.7,63.6,1:31:12,1,9.1
Bullet Bag (50),11,4,1,36.4,25.0,1:38:58,1,25.0
Silver Gauntlets,11,4,2,36.4,50.0,1:25:52,0,0.0
Lens of Truth,11,4,4,36.4,100.0,1:15:44,2,50.0
Fire Medallion,14,5,2,35.7,40.0,1:45:13,0,0.0
Megaton Hammer,14,5,5,35.7,100.0,1:14:51,3,60.0
All 3 Elemental Arrows,59,20,12,33.9,60.0,1:16:56,6,30.0
5 Zora area HPs,9,3,2,33.3,66.7,1:22:47,1,33.3
Map & Compass in Fire Temple,12,4,2,33.3,50.0,1:31:30,1,25.0
Bottled Fairy,3,1,1,33.3,100.0,1:14:47,1,100.0
4 Unused Keys in Gerudo Training Grounds,3,1,1,33.3,100.0,1:20:59,0,0.0
Map & Compass in Shadow Temple,3,1,1,33.3,100.0,1:22:45,0,0.0
Defeat Amy (Green Poe),3,1,0,33.3,0.0,nan,0,0.0
3 Boots,3,1,0,33.3,0.0,nan,0,0.0
All 3 Kokiri Forest area Skulltulas,3,1,0,33.3,0.0,1:41:19,0,0.0
5 Hearts,6,2,2,33.3,100.0,1:19:03,0,0.0
Clear 4 Silver Rupee Rooms,6,2,1,33.3,50.0,1:41:37,0,0.0
All 5 Skulltulas in Dodongo's Cavern,6,2,2,33.3,100.0,1:43:44,0,0.0
3 Boss Keys,6,2,2,33.3,100.0,1:31:38,0,0.0
Blue Gauntlets,6,2,1,33.3,50.0,1:28:29,0,0.0
Defeat a White Wolfos,6,2,0,33.3,0.0,1:42:09,0,0.0
Bullet Bag (40),9,3,1,33.3,33.3,1:23:02,0,0.0
Beat Jabu-Jabu's Belly,9,3,3,33.3,100.0,1:34:59,1,33.3
Spirit Temple Boss Key,9,3,0,33.3,0.0,1:31:10,0,0.0
Both HPs in Death Mountain Crater,9,3,0,33.3,0.0,1:25:24,1,33.3
Beat Dodongo's Cavern,9,3,2,33.3,66.7,1:29:07,1,33.3
All 5 Skulltulas in Forest Temple,9,3,2,33.3,66.7,1:18:25,0,0.0
Saria's Song,9,3,2,33.3,66.7,1:34:08,1,33.3
Open All 6 Gold Rupee Chests,46,15,5,32.6,33.3,1:26:58,1,6.7
10 Songs,32,10,8,31.2,80.0,1:26:12,3,30.0
All 5 Lake Hylia Skulltulas,13,4,3,30.8,75.0,1:25:15,0,0.0
Bomb Bag (30),13,4,2,30.8,50.0,1:50:03,0,0.0
Defeat Twinrova,20,6,2,30.0,33.3,1:23:17,1,16.7
Exactly 20 Deku Sticks,10,3,2,30.0,66.7,1:15:44,1,33.3
Defeat Big Octo,10,3,1,30.0,33.3,1:54:32,0,0.0
Fire Temple Boss Key,17,5,3,29.4,60.0,1:33:28,1,20.0
Epona's Song,7,2,0,28.6,0.0,1:38:27,0,0.0
Double Defense,7,2,2,28.6,100.0,1:23:15,0,0.0
Water Medallion,7,2,0,28.6,0.0,1:38:07,0,0.0
Din's Fire,18,5,4,27.8,80.0,1:16:59,1,20.0
Obtain all 5 Small Keys in Forest Temple,11,3,1,27.3,33.3,1:27:55,1,33.3
Obtain all 5 Small Keys in Shadow Temple,22,6,4,27.3,66.7,1:17:56,2,33.3
Open the Final Door of Water Trial,11,3,2,27.3,66.7,1:22:54,1,33.3
Beat the Spirit Temple,30,8,3,26.7,37.5,1:28:05,1,12.5
Fill all 4 Bottle Slots,8,2,2,25.0,100.0,1:21:08,0,0.0
3 Lake Hylia Skulltulas,4,1,1,25.0,100.0,1:14:14,1,100.0
30 Deku Nuts,20,5,1,25.0,20.0,1:23:40,0,0.0
Open the Final Door of Shadow Trial,4,1,0,25.0,0.0,1:24:06,0,0.0
4 Unused Keys in Forest Temple,4,1,1,25.0,100.0,1:27:01,0,0.0
"3 Swords, Tunics, Boots, and Shields",28,7,5,25.0,71.4,1:33:38,0,0.0
All 4 Lon Lon Ranch area Skulltulas,12,3,2,25.0,66.7,1:14:55,1,33.3
All 4 Adult Zora's Domain area Skulltulas,4,1,1,25.0,100.0,1:24:54,0,0.0
Green Gauntlets,41,10,5,24.4,50.0,1:31:12,2,20.0
3 Swords & 3 Shields,13,3,1,23.1,33.3,1:39:13,1,33.3
Defeat all Lizalfos in Dodongo's Cavern,13,3,3,23.1,100.0,1:15:13,1,33.3
All 4 Market area Skulltulas,13,3,2,23.1,66.7,1:14:09,2,66.7
Goron Bracelet,27,6,2,22.2,33.3,1:43:26,0,0.0
4 Skulltulas in Shadow Temple,9,2,1,22.2,50.0,2:13:06,0,0.0
Desert Colossus HP,9,2,2,22.2,100.0,1:20:42,1,50.0
Forest Medallion,9,2,1,22.2,50.0,1:19:04,1,50.0
Open the Final Door of Spirit Trial,14,3,2,21.4,66.7,1:27:45,1,33.3
Clear 10 Silver Rupee Rooms,34,7,3,20.6,42.9,1:25:24,3,42.9
All 4 Skulltulas in Deku Tree,5,1,1,20.0,100.0,1:19:15,0,0.0
Blue Potion,5,1,1,20.0,100.0,1:12:22,1,100.0
All 3 Skulltulas in Bottom of the Well,20,4,2,20.0,50.0,1:31:11,0,0.0
Quiver (40),10,2,2,20.0,100.0,1:18:28,1,50.0
4 Compasses,5,1,0,20.0,0.0,1:14:09,1,100.0
Forest Temple Boss Key,11,2,1,18.2,50.0,1:36:01,0,0.0
All 4 Gerudo Valley area Skulltulas,12,2,2,16.7,100.0,1:21:52,1,50.0
7 Different Bottled Contents,6,1,0,16.7,0.0,1:27:55,0,0.0
Mirror Shield,6,1,1,16.7,100.0,1:26:02,0,0.0
All 8 Kakariko area Skulltulas,6,1,1,16.7,100.0,1:47:57,0,0.0
All 5 Skulltulas in Fire Temple,12,2,2,16.7,100.0,1:30:40,0,0.0
Fire Arrows,6,1,1,16.7,100.0,1:15:06,0,0.0
4 Songs,6,1,1,16.7,100.0,1:49:12,0,0.0
Giant's Knife,12,2,1,16.7,50.0,1:29:24,0,0.0
Blue Fire,7,1,1,14.3,100.0,1:16:59,0,0.0
3 Skulltulas in Water Temple,14,2,1,14.3,50.0,1:32:04,0,0.0
Plant 5 Magic Beans,14,2,1,14.3,50.0,1:24:43,0,0.0
7 Hearts (no duping),8,1,1,12.5,100.0,1:08:32,1,100.0
All 5 Skulltulas in Spirit Temple,8,1,1,12.5,100.0,1:02:36,1,100.0
Fairy Bow,8,1,1,12.5,100.0,1:14:59,1,100.0
