,weekly wins,races,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
Countdown,0,10,1:42:00,1:41:05,2,0,0,1,0,3,66.96428571428571
CoffeePot,0,10,1:42:18,1:41:07,0,0,2,2,0,2,70.0
the__consultant,0,23,1:19:55,1:19:58,4,1,1,2,1,1,75.19841269841271
Titou,0,30,1:14:07,1:13:46,0,0,5,3,0,8,68.92857142857143
MutantAura,0,18,1:19:37,1:18:01,0,0,1,1,0,1,73.41269841269842
LiterallyLake,0,12,1:15:28,1:14:47,1,0,3,2,1,0,76.62337662337661
jenslang,1,12,1:19:11,1:18:10,0,0,3,0,0,0,71.72619047619048
blinkzy,3,14,1:24:21,1:23:05,0,10,2,1,0,0,50.0
triforce3250,0,9,1:27:14,1:30:19,0,0,1,0,2,1,70.63492063492063
MatttInTheHat,0,15,1:27:09,1:25:01,1,1,4,0,0,1,62.08791208791208
Cabbage72,0,16,1:40:41,1:38:30,2,0,1,0,1,2,78.31632653061223
adef,0,3,1:40:20,1:45:09,0,0,1,0,0,1,51.1904761904762
PsyMarth,0,6,1:33:45,1:28:54,0,0,1,0,0,0,74.4047619047619
moosecrap,0,3,1:45:05,1:44:56,0,0,1,0,0,1,90.47619047619048
neefe,0,6,1:32:22,1:31:28,0,0,3,2,0,0,72.61904761904762
MooseOoT,1,7,1:19:27,1:19:36,3,0,0,0,0,0,83.92857142857143
Grego,0,12,1:40:01,1:34:52,2,0,2,3,0,2,77.14285714285715
Apasher,0,6,1:28:12,1:28:30,2,0,4,2,0,1,43.75
Bou_Frost,0,5,1:36:25,1:37:25,0,0,1,1,0,0,72.85714285714285
Midboss,0,1,1:40:20,1:40:20,0,0,0,0,0,0,82.14285714285714
Savestate,0,6,2:40:10,2:39:41,0,1,0,0,0,0,57.857142857142854
JFM2796,0,8,1:22:22,1:21:54,3,0,1,1,0,1,76.42857142857142
FantaTanked,0,8,1:15:37,1:18:25,1,0,1,0,0,2,66.32653061224491
dotzo,0,1,1:22:03,1:22:03,0,0,0,0,0,0,82.14285714285714
Fenyan,0,5,1:22:31,1:22:05,0,1,1,0,0,0,53.57142857142857
AverageGreg,0,8,1:16:00,1:15:51,0,1,2,1,0,0,80.61224489795919
shiroaeli,0,2,1:46:43,1:46:43,0,0,1,1,0,2,57.14285714285714
benstephens56,0,7,1:45:59,1:45:33,0,2,0,1,0,0,75.71428571428571
Darker,0,2,2:23:52,2:23:52,0,0,0,0,1,0,67.85714285714286
Myelin,0,4,1:43:06,1:39:20,0,0,1,0,1,0,83.03571428571429
Tashman91,0,1,1:47:02,1:47:02,0,0,1,1,0,1,-28.57142857142857
Runnerguy2489,0,1,1:13:52,1:13:52,0,0,0,0,0,0,78.57142857142857
2DollarGargoyle,0,5,1:16:17,1:15:38,0,0,1,0,0,1,77.85714285714286
Exodus,1,9,1:11:41,1:12:14,0,0,1,2,0,2,53.17460317460318
WickedGligar,0,29,1:22:20,1:22:16,5,1,4,4,0,1,66.30434782608695
Challensois_,0,37,1:25:34,1:24:43,10,1,5,3,2,4,59.61538461538461
The corpser,0,2,nan,nan,2,0,0,0,0,0,
Link11,0,16,1:22:28,1:21:55,2,0,3,3,0,2,71.93877551020408
Timato,0,1,1:13:26,1:13:26,0,0,0,0,0,0,85.71428571428571
juwk,0,7,1:11:29,1:12:12,0,0,0,0,0,2,85.71428571428571
shaggy,0,3,1:45:51,1:48:18,0,0,1,0,0,2,58.33333333333333
Cisco64,0,2,1:57:49,1:57:49,0,0,1,1,0,0,46.42857142857143
PaintSkate8,0,2,1:35:23,1:35:23,0,1,0,0,0,0,85.71428571428571
Nalle,0,15,1:17:33,1:18:10,2,2,2,1,0,2,54.87012987012987
Gombill,0,1,1:34:04,1:34:04,0,1,0,0,0,0,
khuno,0,4,2:17:06,2:06:29,0,4,0,0,0,0,
Cloudike,0,12,1:40:22,1:34:21,0,2,5,3,0,0,55.714285714285715
gamestabled,0,4,1:51:03,1:45:16,0,1,1,1,0,1,41.666666666666664
Juchemao17,0,1,1:59:46,1:59:46,0,0,0,0,0,0,64.28571428571429
noface099,0,13,1:47:33,1:44:00,8,0,0,0,0,0,79.28571428571428
tob3000,1,2,1:08:53,1:08:53,0,0,1,0,0,0,33.92857142857143
Glasfolie,0,3,2:31:30,2:31:30,1,2,0,0,0,0,
haktical,0,1,2:20:39,2:20:39,0,0,0,0,0,0,64.28571428571429
TheCowness,0,1,nan,nan,1,0,0,0,0,0,
Condor,0,1,1:45:46,1:45:46,0,0,0,0,0,0,53.57142857142857
Woli,0,4,1:33:05,1:34:08,1,0,0,1,1,2,96.42857142857143
