goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
15 Different Skulltulas,4,6,3,150.0,50.0,1:21:10,1,16.7
3 Tunics & 3 Boots,1,1,0,100.0,0.0,1:46:40,0,0.0
Forest Medallion,2,2,1,100.0,50.0,1:21:47,1,50.0
4 Compasses,6,6,3,100.0,50.0,1:15:18,3,50.0
6 Unused Keys in Gerudo Training Grounds,4,4,3,100.0,75.0,1:11:36,3,75.0
Map & Compass in Deku Tree,3,3,2,100.0,66.7,1:13:28,2,66.7
Defeat Phantom Ganon,3,3,1,100.0,33.3,1:57:06,0,0.0
3 Boots,13,11,6,84.6,54.5,1:33:33,2,18.2
Both HPs in Death Mountain Crater,12,10,5,83.3,50.0,1:25:41,1,10.0
Keaton Mask,6,5,2,83.3,40.0,1:32:02,0,0.0
Ice Cavern HP,5,4,2,80.0,50.0,1:17:10,1,25.0
Fairy Bow,9,7,3,77.8,42.9,1:21:00,2,28.6
Giant's Knife,18,13,6,72.2,46.2,1:20:02,3,23.1
Fire Temple Boss Key,14,10,7,71.4,70.0,1:22:51,2,20.0
Requiem of Spirit,7,5,2,71.4,40.0,1:20:15,1,20.0
Defeat Queen Gohma,7,5,4,71.4,80.0,1:12:18,4,80.0
6 Compasses,13,9,3,69.2,33.3,1:22:32,1,11.1
2 Boss Keys,6,4,0,66.7,0.0,1:30:32,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,6,4,2,66.7,50.0,1:24:52,1,25.0
Clear 8 Silver Rupee Rooms,15,10,8,66.7,80.0,1:19:55,4,40.0
Nayru's Love,11,7,4,63.6,57.1,1:26:54,2,28.6
Double Defense,8,5,4,62.5,80.0,1:12:43,3,60.0
Mirror Shield,8,5,3,62.5,60.0,1:25:55,0,0.0
Gerudo's Card,8,5,1,62.5,20.0,1:25:44,1,20.0
Silver Gauntlets,8,5,4,62.5,80.0,1:22:12,1,20.0
Open 3 Gold Rupee Chests,18,11,6,61.1,54.5,1:25:44,2,18.2
Open 2 Boss Key Doors,5,3,1,60.0,33.3,1:51:23,0,0.0
6 Hearts,5,3,2,60.0,66.7,1:25:28,0,0.0
8 Hearts (no duping),27,16,10,59.3,62.5,1:14:09,8,50.0
Obtain all 5 Small Keys in Shadow Temple,17,10,6,58.8,60.0,1:11:42,7,70.0
Two Fairy Spells,24,14,7,58.3,50.0,1:21:10,3,21.4
Obtain all 8 Small Keys in Fire Temple,12,7,3,58.3,42.9,1:17:48,3,42.9
Shadow Temple Boss Key,14,8,5,57.1,62.5,1:20:08,3,37.5
Fairy Slingshot,7,4,1,57.1,25.0,1:20:17,1,25.0
Lon Lon Ranch HP,14,8,6,57.1,75.0,1:19:42,2,25.0
Defeat Nabooru-Knuckle,7,4,0,57.1,0.0,1:37:51,0,0.0
5 Maps,7,4,2,57.1,50.0,1:24:59,0,0.0
All 5 Skulltulas in Shadow Temple,27,15,7,55.6,46.7,1:27:51,2,13.3
Beat the Water Temple,11,6,2,54.5,33.3,1:29:01,2,33.3
5 Zora area HPs,13,7,5,53.8,71.4,1:20:41,2,28.6
Map & Compass in Bottom of the Well,14,7,4,50.0,57.1,1:34:30,1,14.3
Map & Compass in Shadow Temple,10,5,3,50.0,60.0,1:27:57,2,40.0
1 Skulltula from each Child Dungeon,14,7,3,50.0,42.9,1:26:43,1,14.3
4 Unused Keys in Gerudo Training Grounds,8,4,3,50.0,75.0,1:12:17,3,75.0
8 Songs,10,5,4,50.0,80.0,1:17:57,1,20.0
3 Shields,10,5,1,50.0,20.0,1:46:54,1,20.0
Iron Boots,4,2,1,50.0,50.0,1:52:37,0,0.0
All 5 Skulltulas in Spirit Temple,8,4,4,50.0,100.0,1:13:57,3,75.0
Bullet Bag (50),8,4,2,50.0,50.0,1:15:55,1,25.0
3 Boss Keys,2,1,1,50.0,100.0,1:21:28,0,0.0
All 5 Skulltulas in Fire Temple,30,15,9,50.0,60.0,1:20:10,3,20.0
Boomerang,2,1,0,50.0,0.0,1:52:01,0,0.0
All 3 Kokiri Forest area Skulltulas,6,3,3,50.0,100.0,1:11:59,2,66.7
Beat the Forest Temple,6,3,2,50.0,66.7,1:30:20,0,0.0
All 5 Skulltulas in Dodongo's Cavern,6,3,2,50.0,66.7,1:26:02,0,0.0
9 Songs,20,10,7,50.0,70.0,1:21:19,3,30.0
All 4 Lost Woods area Skulltulas,8,4,1,50.0,25.0,1:27:51,0,0.0
Defeat Bongo-Bongo,4,2,0,50.0,0.0,1:26:01,0,0.0
Farore's Wind,8,4,2,50.0,50.0,1:19:37,1,25.0
Fire Medallion,16,8,4,50.0,50.0,1:33:24,2,25.0
10 Songs,33,16,8,48.5,50.0,1:26:03,3,18.8
3 Skulltulas in Water Temple,19,9,5,47.4,55.6,1:11:40,5,55.6
Forest Temple Boss Key,17,8,4,47.1,50.0,1:17:04,2,25.0
Quiver (40),15,7,4,46.7,57.1,1:25:21,2,28.6
7 Different Unused Keys in Gerudo Training Grounds,15,7,3,46.7,42.9,1:17:40,3,42.9
Defeat Meg (purple Poe),13,6,2,46.2,33.3,1:33:14,1,16.7
5 Hearts,18,8,4,44.4,50.0,1:26:42,1,12.5
Fill all 4 Bottle Slots,9,4,4,44.4,100.0,1:15:07,2,50.0
Beat Dodongo's Cavern,9,4,2,44.4,50.0,1:30:07,0,0.0
30 Different Skulltulas,50,22,11,44.0,50.0,1:25:15,3,13.6
Get to the end of Shadow Trial,23,10,5,43.5,50.0,1:18:21,3,30.0
5 Unused Keys in Gerudo Training Grounds,7,3,2,42.9,66.7,1:34:38,0,0.0
All 3 Skulltulas in Ice Cavern,7,3,2,42.9,66.7,1:13:00,2,66.7
4 Songs,7,3,0,42.9,0.0,1:40:30,0,0.0
Defeat Morpha,7,3,2,42.9,66.7,1:35:13,0,0.0
Beat the Fire Temple,19,8,6,42.1,75.0,1:21:33,1,12.5
Silver Scale,24,10,6,41.7,60.0,1:20:28,4,40.0
Beat the Spirit Temple,34,14,8,41.2,57.1,1:20:16,3,21.4
Quiver (50),27,11,7,40.7,63.6,1:20:17,2,18.2
All 3 Elemental Arrows,32,13,6,40.6,46.2,1:27:58,3,23.1
