goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
All 5 Skulltulas in Fire Temple,1,2,1,200.0,50.0,1:12:57,1,50.0
Map & Compass in Water Temple,1,2,1,200.0,50.0,1:12:57,1,50.0
10 Songs,1,2,1,200.0,50.0,1:12:57,1,50.0
5 Magic Beans,2,3,2,150.0,66.7,1:08:40,2,66.7
Epona's Song,1,1,0,100.0,0.0,1:24:15,0,0.0
3 Boss Keys,1,1,0,100.0,0.0,1:17:00,0,0.0
Both Hyrule Field area Skulltulas,1,1,1,100.0,100.0,1:04:04,1,100.0
Fill all 4 Bottle Slots,1,1,1,100.0,100.0,1:08:40,1,100.0
Bolero of Fire,1,1,0,100.0,0.0,1:24:15,0,0.0
Open 3 Gold Rupee Chests,1,1,0,100.0,0.0,1:33:24,0,0.0
Quiver (50),2,2,1,100.0,50.0,1:12:57,1,50.0
Defeat a Skull Kid,1,1,1,100.0,100.0,1:21:44,0,0.0
Map & Compass in Jabu-Jabu,1,1,1,100.0,100.0,1:08:15,1,100.0
Map & Compass in Forest Temple,1,1,0,100.0,0.0,1:24:15,0,0.0
Map & Compass in Deku Tree,1,1,0,100.0,0.0,1:33:24,0,0.0
Exactly 20 Deku Sticks,2,2,1,100.0,50.0,1:12:57,1,50.0
Map & Compass in Spirit Temple,1,1,0,100.0,0.0,1:17:00,0,0.0
Desert Colossus HP,1,1,1,100.0,100.0,1:08:40,1,100.0
3 Lake Hylia Skulltulas,1,1,1,100.0,100.0,1:04:04,1,100.0
Goron Bracelet,1,1,0,100.0,0.0,1:33:24,0,0.0
3 Swords & 3 Boots,1,1,1,100.0,100.0,1:21:44,0,0.0
All 5 Skulltulas in Water Temple,1,1,0,100.0,0.0,1:17:00,0,0.0
All 5 Lake Hylia Skulltulas,2,2,1,100.0,50.0,1:20:49,1,50.0
Get to the end of Water Trial,1,1,1,100.0,100.0,1:08:40,1,100.0
Get to the end of Spirit Trial,1,1,1,100.0,100.0,1:21:44,0,0.0
Obtain all 5 Small Keys in Forest Temple,1,1,1,100.0,100.0,1:21:44,0,0.0
7 Different Bottled Contents,1,1,1,100.0,100.0,1:08:15,1,100.0
1 Skulltula from each Child Dungeon,1,1,0,100.0,0.0,1:17:00,0,0.0
"3 Swords, Tunics, Boots, and Shields",4,2,1,50.0,50.0,1:21:02,1,50.0
Nayru's Love,2,1,1,50.0,100.0,1:04:04,1,100.0
30 Different Skulltulas,2,1,1,50.0,100.0,1:21:44,0,0.0
Both Rusty Switches in Spirit Temple,2,1,1,50.0,100.0,1:04:04,1,100.0
8 Hearts (no duping),2,1,0,50.0,0.0,1:24:15,0,0.0
3 Skulltulas in Water Temple,2,1,1,50.0,100.0,1:04:04,1,100.0
1 Skulltula from each Adult Dungeon,2,1,1,50.0,100.0,1:08:15,1,100.0
3 Shields & 3 Boots,3,1,0,33.3,0.0,1:24:15,0,0.0
37th Heart Piece (Child Fortress),1,0,0,0.0,0.0,nan,0,0.0
4 Unused Keys in Forest Temple,1,0,0,0.0,0.0,nan,0,0.0
All 8 Death Mountain area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
3 Tunics,1,0,0,0.0,0.0,nan,0,0.0
5 Hearts,1,0,0,0.0,0.0,nan,0,0.0
All 4 Market area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
All 3 Elemental Arrows,1,0,0,0.0,0.0,nan,0,0.0
All 4 Wasteland/ Colossus area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
5 Maps,1,0,0,0.0,0.0,nan,0,0.0
3 Swords & 3 Shields,1,0,0,0.0,0.0,nan,0,0.0
All 5 Skulltulas in Shadow Temple,1,0,0,0.0,0.0,nan,0,0.0
Clear 10 Silver Rupee Rooms,1,0,0,0.0,0.0,nan,0,0.0
All 8 Zora's Domain area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
All 8 Kakariko area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
3 Shields & 3 Tunics,1,0,0,0.0,0.0,nan,0,0.0
Clear 8 Silver Rupee Rooms,1,0,0,0.0,0.0,nan,0,0.0
Beat the Forest Temple,1,0,0,0.0,0.0,nan,0,0.0
Beat the Water Temple,1,0,0,0.0,0.0,nan,0,0.0
1 Unused Small Key in each Adult Dungeon,1,0,0,0.0,0.0,nan,0,0.0
7 Different Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0,nan,0,0.0
7 Maps,1,0,0,0.0,0.0,nan,0,0.0
Bullet Bag (50),1,0,0,0.0,0.0,nan,0,0.0
Defeat Meg (purple Poe),1,0,0,0.0,0.0,nan,0,0.0
8 Different Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0,nan,0,0.0
6 Hearts,1,0,0,0.0,0.0,nan,0,0.0
5 Zora area HPs,1,0,0,0.0,0.0,nan,0,0.0
Defeat Volvagia,1,0,0,0.0,0.0,nan,0,0.0
6 Maps,1,0,0,0.0,0.0,nan,0,0.0
Fairy Slingshot,2,0,0,0.0,0.0,nan,0,0.0
Fairy Bow,1,0,0,0.0,0.0,nan,0,0.0
Open All 6 Gold Rupee Chests,1,0,0,0.0,0.0,nan,0,0.0
Fire Medallion,1,0,0,0.0,0.0,nan,0,0.0
Defeat Twinrova,2,0,0,0.0,0.0,nan,0,0.0
Longshot,2,0,0,0.0,0.0,nan,0,0.0
Bomb Bag (30),2,0,0,0.0,0.0,nan,0,0.0
Forest Temple Boss Key,2,0,0,0.0,0.0,nan,0,0.0
Two Fairy Spells,1,0,0,0.0,0.0,nan,0,0.0
Beat the Fire Temple,2,0,0,0.0,0.0,nan,0,0.0
All 3 Skulltulas in Bottom of the Well,2,0,0,0.0,0.0,nan,0,0.0
All 3 Kokiri Forest area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
Golden Gauntlets,2,0,0,0.0,0.0,nan,0,0.0
Free all 9 Gorons in Fire Temple,2,0,0,0.0,0.0,nan,0,0.0
Beat the Spirit Temple,3,0,0,0.0,0.0,nan,0,0.0
Ruto's Letter,1,0,0,0.0,0.0,nan,0,0.0
Water Temple Boss Key,1,0,0,0.0,0.0,nan,0,0.0
7 Compasses,1,0,0,0.0,0.0,nan,0,0.0
Green Gauntlets,1,0,0,0.0,0.0,nan,0,0.0
7 Magic Beans,1,0,0,0.0,0.0,nan,0,0.0
Defeat Morpha,1,0,0,0.0,0.0,nan,0,0.0
Bronze Gauntlets,1,0,0,0.0,0.0,nan,0,0.0
Get to the end of Light Trial,1,0,0,0.0,0.0,nan,0,0.0
Megaton Hammer,1,0,0,0.0,0.0,nan,0,0.0
Get to the end of Forest Trial,1,0,0,0.0,0.0,nan,0,0.0
Light Arrows,1,0,0,0.0,0.0,nan,0,0.0
Double Defense,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Bottom of the Well,1,0,0,0.0,0.0,nan,0,0.0
Goron Tunic,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Ice Cavern,1,0,0,0.0,0.0,nan,0,0.0
Fire Temple Boss Key,1,0,0,0.0,0.0,nan,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,1,0,0,0.0,0.0,nan,0,0.0
Din's Fire,1,0,0,0.0,0.0,nan,0,0.0
Zora Tunic,1,0,0,0.0,0.0,nan,0,0.0
