,wins,losses,average,median,forfeits,blanks
Fenyan,2,1,1:24:34,1:24:55,0,0
MikeKatz45,1,2,1:19:31,1:20:26,0,0
Lake_oot,2,1,1:24:42,1:26:19,0,0
scaramanga,2,1,1:14:15,1:13:49,0,0
QuickKiran,3,0,1:17:37,1:19:37,0,0
MatttInTheHat,1,2,1:24:58,1:25:18,0,0
JFM2796,1,2,1:44:30,1:34:30,0,0
Condor,0,3,1:40:20,1:44:37,0,0
Link11,2,1,1:20:59,1:22:10,0,0
Runnerguy2489,2,1,1:16:05,1:15:49,0,0
CoffeePot,1,2,1:32:24,1:31:17,0,0
gc_one,1,2,2:28:54,2:28:54,0,1
Kayla,0,3,2:15:36,2:15:36,1,0
DiamondFlash27,2,1,1:21:47,1:22:02,0,0
moosecrap,1,2,1:37:52,1:40:22,0,0
noface099,0,3,2:12:35,2:12:35,1,2
Amateseru,3,0,1:15:51,1:11:57,0,0
xwillmarktheplace,2,1,1:22:28,1:20:37,0,0
Gombill,1,2,1:30:55,1:30:08,0,0
Countdown,0,3,2:03:16,2:03:16,0,0
Bonooru,3,0,1:10:06,1:13:21,0,0
juwk,2,1,1:10:08,1:10:08,1,1
Chris7,2,1,1:09:18,1:09:24,0,0
Exodus,3,0,1:10:32,1:10:04,0,0
Titou,2,1,1:16:31,1:11:59,0,0
AverageGreg,2,1,1:15:34,1:15:55,0,0
MutantAura,1,2,1:32:20,1:33:54,0,0
Xanra,2,1,1:20:31,1:20:17,0,1
Bou_Frost,1,2,1:48:05,1:50:25,0,0
mkbgnr,0,3,2:19:04,2:19:04,1,1
Midboss,2,1,1:41:35,1:42:33,0,0
the__consultant,1,2,1:23:51,1:23:55,0,0
Tashman91,1,2,1:32:36,1:33:54,0,0
Jake Wright,2,1,1:19:19,1:20:02,0,1
Numberplay,1,2,1:24:59,1:25:21,0,0
tob3000,3,0,1:07:23,1:10:59,0,0
MooseOoT,1,2,1:13:15,1:13:15,0,1
blinkzy,2,1,1:24:54,1:19:33,0,1
Myelin,1,2,2:01:45,2:06:22,0,1
adef,0,3,1:42:10,1:40:30,0,0
FantaTanked,2,1,1:18:55,1:14:17,0,1
PhoenixFeather,3,0,1:14:03,1:14:38,0,1
Chromium_Light,1,2,1:59:07,1:59:07,0,2
Fleush,1,2,1:21:37,1:21:37,0,1
Davpat,1,2,1:38:29,1:30:59,0,0
Nalle,2,1,1:31:20,1:33:33,0,0
PsyMarth,1,2,1:25:43,1:26:54,0,0
Valientlink,2,1,1:28:07,1:22:07,0,0
ZAR,1,2,1:43:11,1:36:05,0,0
Hapenfors,0,3,1:34:53,1:36:41,0,0
shaggy,2,1,1:20:09,1:20:41,0,0
Timato,3,0,1:13:39,1:15:30,0,0
