,wins,losses,average,median,forfeits,blanks,sarias,multizl,mean synergy,mean estimate diff
tob3000,1,0,1:08:15,1:08:15,0,0,0,0,-5.2,-6.2
Midboss,0,1,1:33:24,1:33:24,0,0,1,0,-7.8,-7.0
Exodus,1,0,1:04:04,1:04:04,0,0,0,0,-4.8,-6.2
Link11,0,1,1:24:15,1:24:15,0,0,0,0,-2.0,-5.0
Chris7,1,0,1:21:44,1:21:44,0,0,0,0,-6.0,-5.5
QuickKiran,0,1,nan,nan,1,1,0,0,,
PhoenixFeather,1,0,1:08:40,1:08:40,0,0,0,0,-5.2,-7.0
Titou,0,1,1:17:00,1:17:00,0,0,0,0,-6.5,-6.8
Amateseru,1,0,1:10:14,1:10:14,0,0,0,0,-6.0,-6.2
shaggy,0,1,1:15:40,1:15:40,0,0,0,0,-6.0,-6.2
