,weekly wins,races,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
2DollarGargoyle,7,88,1:23:56,1:21:44,1,0,0,10,2,10,78.48932676518884
triforce3250,0,42,1:41:00,1:37:32,0,1,3,5,0,2,66.1149825783972
Grego_The_Greatest,0,21,2:07:37,2:08:08,11,6,2,1,0,0,63.39285714285714
Jake Wright,0,9,1:28:37,1:27:54,6,0,0,0,0,0,52.38095238095239
juwk,7,59,1:11:30,1:11:05,4,2,1,3,1,5,72.50673854447439
Titou,2,83,1:17:24,1:16:21,12,0,5,13,2,13,76.45875251509054
Fenyan,1,37,1:27:58,1:25:18,1,0,3,6,2,5,74.80158730158729
Woli,0,11,1:47:37,1:50:06,5,3,0,0,0,0,73.80952380952381
CoffeePot,1,128,1:37:59,1:36:36,2,1,32,22,1,17,66.08571428571429
Juchemao17,0,17,2:17:28,2:18:43,11,1,1,0,1,0,64.28571428571429
MooseOoT,2,63,1:13:55,1:13:20,13,1,1,2,7,3,78.49854227405248
tob3000,70,112,1:12:52,1:12:18,0,0,15,4,4,7,64.3813775510204
Gombill,1,17,1:28:40,1:28:17,0,0,5,1,0,1,59.03361344537815
FantaTanked,1,46,1:16:18,1:16:02,6,1,1,0,0,1,75.54945054945054
Xanra,3,69,1:23:19,1:21:33,0,0,22,13,0,3,75.87991718426501
shiroaeli,0,24,2:00:23,1:56:53,9,1,1,3,1,4,72.95918367346938
MutantAura,0,52,1:27:59,1:25:27,5,3,6,5,0,9,79.70779220779221
jenslang,3,136,1:20:39,1:18:42,9,1,11,9,4,14,75.25510204081634
WickedGligar,2,74,1:30:08,1:30:27,18,5,12,11,2,3,74.71988795518207
dotzo,1,13,1:30:09,1:19:16,1,0,2,2,3,3,73.51190476190476
moosecrap,1,72,1:46:31,1:44:18,2,1,8,7,0,3,71.58385093167702
Challensois_,0,26,1:42:58,1:42:04,12,4,0,0,0,1,76.42857142857142
Fleush,0,13,1:32:48,1:29:40,1,0,1,1,3,1,84.52380952380952
Exodus,5,29,1:10:07,1:10:39,3,0,0,2,1,6,86.53846153846153
SariasObject,0,3,nan,nan,3,0,0,0,0,0,
Nalle,0,52,1:25:50,1:21:18,4,5,2,2,1,6,71.59468438538205
JFM2796,0,54,1:26:20,1:25:32,10,3,4,4,3,2,70.20905923344948
West0pher,0,16,1:45:55,1:43:29,2,0,2,0,0,0,81.37755102040816
PaintSkate8,0,28,1:40:42,1:34:53,2,5,6,1,0,1,75.17006802721087
mkbgnr,0,3,2:21:27,2:21:27,1,0,0,0,0,0,26.785714285714285
Myelin,0,52,1:50:36,1:49:04,10,0,12,6,6,7,67.85714285714286
The corpser,0,14,2:18:01,2:19:08,1,4,4,2,2,2,67.85714285714286
the__consultant,6,164,1:25:32,1:22:05,23,5,24,18,8,14,70.24684873949579
QuickKiran,0,18,1:27:41,1:28:05,1,0,2,2,1,2,68.4873949579832
haktical,0,5,2:13:07,2:17:10,0,1,0,0,1,0,72.32142857142857
TheCowness,0,4,3:15:46,3:15:46,2,1,0,0,0,0,39.285714285714285
VidyaJames,0,1,nan,nan,1,0,0,0,0,0,
sva,1,7,1:21:25,1:18:54,0,1,0,1,1,1,76.78571428571429
TKC,6,29,1:20:36,1:20:08,0,0,6,3,1,3,75.0
plasma-parse,0,21,1:37:35,1:36:46,0,3,9,5,0,0,62.30158730158729
realtimeattack64,2,13,1:16:44,1:16:17,1,0,0,0,0,0,60.71428571428571
Countdown,0,54,1:45:49,1:42:04,17,2,3,4,1,4,72.0408163265306
kaeru,0,14,1:39:06,1:37:34,0,7,0,1,0,2,81.12244897959184
Midboss,0,15,1:46:15,1:43:05,4,0,0,0,0,1,66.55844155844156
Link11,6,163,1:24:49,1:22:17,4,0,2,15,6,10,78.34681042228212
tsundererar,0,6,1:24:07,1:22:15,0,2,1,0,0,1,67.85714285714286
Cabbage72,0,24,2:28:35,2:19:46,11,9,1,1,0,0,86.60714285714286
shaggy,0,54,1:38:15,1:34:04,0,3,15,4,0,1,72.26890756302521
MikeKanis,0,4,1:50:50,1:53:15,0,4,0,0,0,0,
GreenMixTape,0,4,3:48:34,3:36:08,0,4,0,0,0,0,
colin,0,3,4:26:36,3:31:12,0,3,0,0,0,0,
Darker,0,4,3:00:39,3:10:32,0,2,1,0,0,0,44.642857142857146
HonkyMcButterball,0,1,nan,nan,1,0,0,0,0,0,
khufufoofoo,0,1,3:27:16,3:27:16,0,0,0,0,0,0,53.57142857142857
neefe,0,36,1:33:24,1:32:42,1,0,10,5,0,2,79.08163265306122
Aksannyi,0,1,2:16:02,2:16:02,0,0,1,0,0,0,100.0
LiterallyLake,4,117,1:17:44,1:17:06,9,3,10,12,6,9,74.89795918367346
Timato,14,77,1:11:07,1:10:40,2,1,6,2,6,1,72.2007722007722
PsyMarth,0,9,1:45:09,1:31:45,0,0,4,4,1,5,50.0
AverageGreg,1,46,1:17:33,1:16:44,0,0,0,1,0,2,77.25155279503106
noface099,0,6,2:25:35,2:25:35,4,1,0,0,0,0,7.142857142857142
gc_one,0,12,2:15:24,2:00:07,6,1,0,0,0,2,78.57142857142857
ANotSoSpookySkeleton,0,19,2:27:46,2:36:58,11,1,2,1,1,2,62.24489795918367
Yanis,0,1,1:42:05,1:42:05,0,0,0,0,0,0,82.14285714285714
adef,0,29,1:30:07,1:28:21,3,0,3,3,2,2,60.16483516483516
xwillmarktheplace,0,16,1:20:36,1:18:50,0,0,3,1,0,1,77.90178571428571
weed,0,3,1:44:12,1:44:12,2,0,1,0,0,0,85.71428571428571
Cloudike,0,1,nan,nan,1,0,0,0,0,0,
MikeKatz45,0,20,1:20:47,1:19:29,3,1,7,2,0,1,58.25892857142857
Maddie,0,10,1:52:52,1:57:17,3,0,2,0,0,2,60.71428571428571
Runnerguy2489,2,11,1:17:21,1:15:59,0,0,1,1,0,0,62.66233766233766
MatttInTheHat,0,28,1:28:39,1:27:03,2,0,7,3,2,3,65.52197802197803
Figure8,0,11,2:10:45,2:02:25,5,3,0,0,0,0,78.57142857142857
blinkzy,0,4,1:26:19,1:23:11,0,4,0,0,0,0,
LexWatercolor,0,4,1:45:10,1:47:06,0,3,1,0,0,0,7.142857142857142
Ilher,0,7,1:27:02,1:27:14,2,0,1,0,0,1,68.57142857142857
Tashman91,0,4,1:41:09,1:42:58,0,0,0,0,0,1,63.39285714285714
scaramanga,0,4,1:30:00,1:28:34,0,0,0,0,0,0,77.67857142857143
Chris7,1,18,1:13:08,1:11:33,4,0,1,1,3,3,82.90816326530613
Ohrange,0,2,1:51:49,1:51:49,0,0,0,0,0,0,50.0
purple tissue box,0,1,2:10:21,2:10:21,0,0,0,0,0,0,39.285714285714285
aliens,0,1,nan,nan,1,0,0,0,0,0,
Hapenfors,0,2,1:26:23,1:26:23,0,0,0,0,0,1,73.21428571428571
Zombie_God,0,1,2:07:50,2:07:50,0,1,0,0,0,0,
Big Salt,0,1,nan,nan,1,0,0,0,0,0,
Niamek,0,3,1:49:34,1:49:44,0,1,1,1,0,1,92.85714285714286
Hyperion64,0,1,1:29:53,1:29:53,0,0,0,0,0,0,75.0
RealSpeedKey,0,1,nan,nan,1,0,0,0,0,0,
Condor,0,2,1:49:07,1:49:07,0,0,0,0,0,1,78.57142857142857
MLink,0,1,nan,nan,1,0,0,0,0,0,
NicV,0,1,2:48:52,2:48:52,0,0,0,0,0,0,32.142857142857146
Rubixmagic,0,8,1:54:43,1:51:41,2,0,0,1,1,1,77.38095238095238
ArmorySons,0,2,1:24:23,1:24:23,0,0,0,0,0,0,71.42857142857143
Sonfloro,0,2,1:44:10,1:44:10,0,0,0,0,0,0,32.142857142857146
Numberplay,0,1,nan,nan,1,0,0,0,0,0,
