goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
15 Different Skulltulas,12,20,166.7,1:25:31,3,15.0
Get Bombchu chest in Spirit Temple,10,15,150.0,1:19:01,6,40.0
Defeat a White Wolfos,3,4,133.3,1:06:11,3,75.0
4 Unused Keys in Gerudo Training Grounds,16,19,118.8,1:25:09,4,21.1
Silver Gauntlets,17,20,117.6,1:18:59,7,35.0
3 Unused Keys in Gerudo Training Grounds,8,9,112.5,1:15:54,3,33.3
4 Songs,8,9,112.5,1:18:21,3,33.3
6 Different Unused Keys in Gerudo Training Grounds,13,14,107.7,1:19:01,3,21.4
All 4 Adult Zora's Domain area Skulltulas,6,6,100.0,1:29:54,2,33.3
Both HPs in Death Mountain Crater,18,18,100.0,1:22:24,1,5.6
Fairy Bow,13,13,100.0,1:27:07,5,38.5
500 Rupees,8,8,100.0,1:37:23,0,0.0
Farore's Wind,22,22,100.0,1:24:43,4,18.2
8 Hearts (no duping),46,44,95.7,1:33:03,5,11.4
Zora Tunic,18,17,94.4,1:19:18,3,17.6
All 3 Skulltulas in Ice Cavern,15,14,93.3,1:19:12,5,35.7
37th Heart Piece (Child Fortress),15,14,93.3,1:20:02,3,21.4
Obtain all 5 Small Keys in Shadow Temple,29,27,93.1,1:23:45,3,11.1
3 Boots,14,13,92.9,1:22:54,4,30.8
Map & Compass in Jabu-Jabu,13,12,92.3,1:24:50,2,16.7
5 Maps,13,12,92.3,1:25:40,1,8.3
Forest Medallion,13,12,92.3,1:23:40,3,25.0
Defeat Phantom Ganon,12,11,91.7,1:20:02,1,9.1
Beat the Shadow Temple,12,11,91.7,1:15:13,4,36.4
7 Hearts (no duping),23,21,91.3,1:28:45,3,14.3
Beat the Deku Tree,11,10,90.9,1:22:18,1,10.0
6 Compasses,21,19,90.5,1:17:53,6,31.6
Map & Compass in Spirit Temple,31,28,90.3,1:23:30,6,21.4
Blue Fire,10,9,90.0,1:16:59,2,22.2
Two Fairy Spells,37,33,89.2,1:18:23,8,24.2
5 Compasses,9,8,88.9,1:25:15,1,12.5
Open 3 Gold Rupee Chests,34,30,88.2,1:25:02,10,33.3
Gerudo's Card,17,15,88.2,1:15:08,6,40.0
All 3 Skulltulas in Bottom of the Well,37,32,86.5,1:21:52,6,18.8
All 4 Adult Skulltulas in Zora's Domain Area,7,6,85.7,1:23:40,1,16.7
Defeat all Lizalfos in Dodongo's Cavern,14,12,85.7,1:32:26,3,25.0
Defeat both Flare Dancers,14,12,85.7,1:22:32,1,8.3
Clear 4 Silver Rupee Rooms,13,11,84.6,1:21:44,3,27.3
10 Songs,64,54,84.4,1:20:45,14,25.9
Defeat Barinade,12,10,83.3,1:21:18,1,10.0
Open 3 Boss Key Doors,30,25,83.3,1:24:39,3,12.0
Bronze Gauntlets,17,14,82.4,1:25:16,2,14.3
Iron Boots,11,9,81.8,1:22:56,1,11.1
3 Shields & 3 Boots,49,40,81.6,1:24:36,4,10.0
Quiver (40),21,17,81.0,1:19:36,6,35.3
All 4 Wasteland/ Colossus area Skulltulas,20,16,80.0,1:19:33,4,25.0
Both Hyrule Field area Skulltulas,15,12,80.0,1:18:02,2,16.7
5 Zora area HPs,25,20,80.0,1:25:14,3,15.0
